Tribe,Country,Image,Description,Face shape:,Eye shape and size:,Nose shape:,Mouth shape:,Presence and style of scarification or tattoos:,Presence and type of headdress or hair representation:,Color palette used:,Presence of additional elements:,Overall size and proportions:,Material used:,Surface texture:,Presence and style of geometric patterns:,
Lega / Balega,RD Congo,http://www.tribal-art-gallery.com/tribal-art-pictures/19181/84d52f28-4416-43fb-9eb6-2d332dca2cc2/Masque-Lega-Art-Africain_hqth.jpg,"Les Lega de la République démocratique du Congo sont connus pour leurs petites sculptures en ivoire et en bois, appelées bwami, utilisées dans leur système d'initiation complexe.",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Smooth,Geometric,
Fang ,Gabon,https://www.tribal-art-gallery.com/tribal-art-pictures/23924/b26810ee-cc32-4529-9a25-0b0de414fb01/Masque-Fang-Art-Africain_hqth.jpg,"Le peuple Fang du Gabon, de Guinée équatoriale et du Cameroun est célèbre pour ses figures de reliquaire byeri, gardiens des ossements des ancêtres.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Bete ,Cote d'Ivoire,https://www.tribal-art-gallery.com/tribal-art-pictures/27341/465c135b-61db-4fa1-a4d4-2819fec85201/Masque-Bete-Art-Africain_hqth.jpg,"Les Bete de Côte d'Ivoire sont reconnus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection du village.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
Mama/Kantana,Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/22694/583c483d-5400-46af-8776-bf6cbdbe2642/Masque-Mama-Art-Africain_hqth.jpg,"Les Mama/Kantana, un sous-groupe du peuple Dagari au Ghana et au Burkina Faso, sont connus pour leur système agricole durable et leurs rituels liés à la terre.",Round,Large,Wide,Open,Absent,Simple cap,Earth tones,None,Small,Wood,Rough,Linear,
"Suku / Basuku",RD Congo,https://www.tribal-art-gallery.com/tribal-art-pictures/27192/ca1fea72-d2fb-4bbc-8c08-3a0e514f7b32/Masque-Suku-Art-Africain_hqth.jpg,Les Suku de la République démocratique du Congo et d'Angola sont connus pour leurs masques hemba utilisés dans les rites d'initiation des jeunes hommes.,Elongated,Slit,Beak-like,Absent,Absent,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
Lwalwa / Balwalwa,RD Congo,https://www.tribal-art-gallery.com/tribal-art-pictures/27280/79defda3-9911-411b-9e1d-f102898473e2/Masque-Lwalwa-Art-Africain_hqth.jpg,"Les Lwalwa de la République démocratique du Congo sont réputés pour leurs masques masculins aux traits géométriques, utilisés dans les cérémonies de circoncision.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Yoruba,Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/23801/23bc4c91-0503-4293-91b3-bb1750c2cb74/Masquette-Gelede-Art-Africain_hqth.jpg,"Le peuple Yoruba d'Afrique de l'Ouest possède un riche panthéon de divinités appelées Orishas, la divination Ifa étant reconnue par l'UNESCO comme un chef-d'œuvre du patrimoine oral et immatériel de l'humanité.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Dogon ,Mali,http://www.tribal-art-gallery.com/tribal-art-pictures/23013/8b99568d-1539-4d37-b5bd-f1f8f33be153/Masque-Dogon-Art-Africain_hqth.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Vouvi / Bavouvi,Gabon,http://www.tribal-art-gallery.com/tribal-art-pictures/27273/a931e331-7396-4a3e-97b0-74c5cf4ec059/Masque-Vuvi-Art-Africain_hqth.jpg,Les Vuvi du Gabon sont connus pour leurs masques blancs utilisés dans les rituels de la société secrète Bwiti.,Oval,Large,Thin,Small closed,Linear,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
Idoma ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/27182/6c55c6ba-bc23-4d89-85b0-7a5ca03906de/Cimier-Idoma-Art-Africain_hqth.jpg,"Les Idoma du Nigeria sont célèbres pour leurs masques aux formes animales, utilisés dans les cérémonies funéraires et les festivals agricoles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Punu ,Gabon,http://www.tribal-art-gallery.com/tribal-art-pictures/24972/1ec6500a-17a7-4dfc-bdb8-6cb1cea238bf/Masque-Punu-Art-Africain_hqth.jpg,"Les Punu du Gabon sont célèbres pour leurs masques blancs féminins okuyi, aux traits délicats, utilisés dans les cérémonies funéraires et les danses rituelles.",Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Geometric,
Kongo / Bakongo,RD Congo,http://www.tribal-art-gallery.com/tribal-art-pictures/22494/6676e9ca-b9bd-4ae4-bda7-f27cd22415a7/Masque-Kongo-Art-Africain_hqth.jpg,"Le peuple Kongo, réparti entre l'Angola, la République du Congo et la RDC, est connu pour ses nkisi nkondi, des statues à clous utilisées pour la protection et la guérison.",Oval,Slit,Thin,Small closed,Linear,Elaborate,Natural wood,None,Medium,Wood,Smooth,Linear,
Gouro ,Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/22530/98cc81a4-3c71-4456-ab59-279c92ecf9ab/Masque-Gouro-Art-Africain_hqth.jpg,"Les Gouro de Côte d'Ivoire sont réputés pour leurs masques zoomorphes et anthropomorphes, utilisés dans les danses rituelles liées à l'agriculture.",Round,Large,Wide,Open,Geometric,Elaborate,Vibrant,Multiple faces,Large,Wood,Rough,Geometric,
Guerre,Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/27185/35211eb6-18ed-44fa-a86e-a1d372c3249f/Masque-We-Art-Africain_hqth.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Fang ,Gabon,http://www.tribal-art-gallery.com/tribal-art-pictures/21977/c1b06910-63ea-4bdf-adc6-465d93b41a9c/Masque-Fang-Art-Africain_hqth.jpg,"Le peuple Fang du Gabon, de Guinée équatoriale et du Cameroun est célèbre pour ses figures de reliquaire byeri, gardiens des ossements des ancêtres.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
"Songye / Basongje",RD Congo,http://www.tribal-art-gallery.com/tribal-art-pictures/23492/455651d2-f5f8-4f8d-a75d-ffa82c9540c7/Masque-Songye-Art-Africain_hqth.jpg,"Les Songye de la République démocratique du Congo sont célèbres pour leurs masques Kifwebe aux motifs géométriques, utilisés dans les cérémonies de la société secrète Bwadi Bwa Kifwebe.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
"Pende / Bapende",RD Congo,http://www.tribal-art-gallery.com/tribal-art-pictures/22369/a5575e87-764f-44e7-93ed-b1ee8581daaf/Masquette-Pende-Art-Africain_hqth.jpg,"Les Pende de la RDC sont célèbres pour leurs masques mbuya aux expressions dramatiques, utilisés dans les rites de passage et les cérémonies de circoncision.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
Guerre,Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/26945/a25bdbba-1658-4167-b9b2-c2a0dea515b6/Masque-We-Art-Africain_hqth.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Eket ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/26911/5e5464e6-d3ba-4867-b416-6f8dddc1f625/Panneau-Eket-Art-Africain_hqth.jpg,"Les Eket du Nigeria sont reconnus pour leurs petits masques circulaires ekon, utilisés par la société secrète Ekpo pour maintenir l'ordre social.",Oval,Slit,Thin,Small closed,Geometric,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Baoule,Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/26883/85568623-5d3d-4093-9faf-a54d8d5f2b1e/Masque-Baule-Art-Africain_hqth.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Makonde / Wamakonde,Tanzanie,http://www.tribal-art-gallery.com/tribal-art-pictures/26887/6494706c-d16a-47fd-82bc-62dd069fd6a3/Masque-Makua-Art-Africain_hqth.jpg,"Les Makonde, présents en Tanzanie et au Mozambique, sont renommés pour leurs sculptures sur bois complexes, en particulier les sculptures de ""l'Arbre de Vie"" qui représentent des figures humaines entrelacées dans une structure en forme de tour.",Elongated,Slit,Absent,Absent,Geometric,Elaborate,Earth tones,None,Medium,Wood,Smooth,Geometric,
"Ekoi / Ejagham",Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/26892/20d0367f-05a3-41c6-85e7-c1f4cb405b92/Tete-Ekoi-Art-Africain_hqth.jpg,"Les Ekoi du Nigeria et du Cameroun sont connus pour leurs masques-heaumes en peau animale, appelés cimier, utilisés dans les danses cérémonielles.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Rough,Geometric,
Makonde / Wamakonde,Tanzanie,https://www.tribal-art-gallery.com/tribal-art-pictures/26890/90def64a-e0b7-40f7-b5fa-e5190fe3b01c/Masque-Makonde-Art-Africain_hqth.jpg,"Les Makonde, présents en Tanzanie et au Mozambique, sont renommés pour leurs sculptures sur bois complexes, en particulier les sculptures de ""l'Arbre de Vie"" qui représentent des figures humaines entrelacées dans une structure en forme de tour.",Elongated,Slit,Absent,Absent,Geometric,Elaborate,Earth tones,None,Medium,Wood,Smooth,Geometric,
Ogoni / Ogboni,Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/21609/0f7a171c-23e5-4da8-a410-0bf96b490586/Masque-Ogoni-Art-Africain_hqth.jpg,"Les Ogoni du Nigeria sont connus pour leur lutte contre l'exploitation pétrolière dans leur région, menée par l'activiste Ken Saro-Wiwa dans les années 1990.",Round,Large,Wide,Open,Tribal-specific,Absent,Vibrant,None,Medium,Wood,Smooth,Circular,
Mende ,Liberia,https://www.tribal-art-gallery.com/tribal-art-pictures/25456/73f29aa9-93ce-4098-b97c-3d72c8d011be/Masque-Mende-Art-Africain_hqth.jpg,"Le peuple Mende de Sierra Leone est célèbre pour ses masques sowei de la société féminine Sande, utilisés dans les rites d'initiation des jeunes filles.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear,
"Dan / Yacouba",Cote d'Ivoire,https://www.tribal-art-gallery.com/tribal-art-pictures/25646/fc749328-c93b-48f3-a429-f65ee21e1924/Masque-Dan-Art-Africain_hqth.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Igbo ,Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/25710/02593b04-d23e-474e-89da-5cf3555d215f/Masque-Igbo-Art-Africain_hqth.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Mende ,Liberia,http://www.tribal-art-gallery.com/tribal-art-pictures/25707/60af5d02-9259-47b0-b272-d66c01feba3a/Masque-Mende-Art-Africain_hqth.jpg,"Le peuple Mende de Sierra Leone est célèbre pour ses masques sowei de la société féminine Sande, utilisés dans les rites d'initiation des jeunes filles.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear,
"Pende / Bapende",RD Congo,http://www.tribal-art-gallery.com/tribal-art-pictures/25648/dd36d39d-9dfd-452f-9f54-1e06b6766ab0/Masque-Pende-Art-Africain_hqth.jpg,"Les Pende de la RDC sont célèbres pour leurs masques mbuya aux expressions dramatiques, utilisés dans les rites de passage et les cérémonies de circoncision.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
"Kuba / Bakuba",RD Congo,http://www.tribal-art-gallery.com/tribal-art-pictures/19790/fb1ce37b-4a92-4fc1-b11e-ded18935fdc2/Masque-Kuba-Art-Africain_hqth.jpg,"Le royaume Kuba, en République démocratique du Congo, est renommé pour ses textiles raffinés, ses sculptures en bois et son système complexe de titres royaux.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
"Dan / Yacouba",Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/21562/d67d1a1d-89f2-4a09-b273-7f5d59e1b2af/Masque-Dan-Art-Africain_hqth.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Chamba / Tshomba",Nigeria,http://www.tribal-art-gallery.com/tribal-art-pictures/25575/9e8f1060-8816-401b-9492-fdb0ac758bba/Masque-Chamba-Art-Africain_hqth.jpg,"Les Chamba du Nigeria et du Cameroun sont réputés pour leurs statues anthropomorphes en bois, utilisées dans les rituels de guérison et de divination.",Elongated,Slit,Beak-like,Absent,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Dogon ,Mali,http://www.tribal-art-gallery.com/tribal-art-pictures/21545/8c0f6f0e-0cc5-4146-b750-63c2695e7824/Masque-Dogon-Art-Africain_hqth.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Bamileke,Cameroun,http://www.tribal-art-gallery.com/tribal-art-pictures/25561/cb4cda7e-15c2-4d64-ac51-82599fc13aea/Masque-Bamileke-Art-Africain_hqth.jpg,"Les Bamileke du Cameroun sont connus pour leurs masques éléphanteau et leurs trônes royaux richement décorés, symboles de pouvoir et de prestige.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Bambara / Bamana,Mali,http://www.tribal-art-gallery.com/tribal-art-pictures/25537/4ec651d6-74a2-44ff-880c-8976e54071e0/Masque-Bamana-Art-Africain_hqth.jpg,"Les Bambara, prédominants au Mali, sont connus pour leurs masques élaborés utilisés dans les cérémonies d'initiation et leur société N'tomo, qui enseigne aux jeunes garçons des valeurs morales à travers la danse et la musique.",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
"Dan / Yacouba",Cote d'Ivoire,http://www.tribal-art-gallery.com/tribal-art-pictures/25387/be6c2289-60cc-4cb8-ac05-ef0412d87472/Masque-Dan-Art-Africain_hqth.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Dogon ,Mali,http://www.tribal-art-gallery.com/tribal-art-pictures/21367/f4744734-1e73-413f-8984-131761066f20/Masque-Dogon-Art-Africain_hqth.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Fang ,Gabon,http://www.tribal-art-gallery.com/tribal-art-pictures/25449/f67e0151-7100-4d1b-9920-35bdecc4a88d/Masque-Fang-Art-Africain_hqth.jpg,"Le peuple Fang du Gabon, de Guinée équatoriale et du Cameroun est célèbre pour ses figures de reliquaire byeri, gardiens des ossements des ancêtres.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Fang ,Gabon,http://www.tribal-art-gallery.com/tribal-art-pictures/24971/346b6220-54db-4b0a-9f48-314f3a70356d/Masque-Fang-Art-Africain_hqth.jpg,"Le peuple Fang du Gabon, de Guinée équatoriale et du Cameroun est célèbre pour ses figures de reliquaire byeri, gardiens des ossements des ancêtres.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Kouyou ,RD Congo,http://www.tribal-art-gallery.com/tribal-art-pictures/25347/055690dd-970b-4430-92e8-3df1ee974342/Statue-Kouyou-Art-Africain_hqth.jpg,"Les Kouyou du Congo sont reconnus pour leurs masques utilisés dans les rituels de la société initiatique Otoli, liés à la chasse et à la guerre.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Rough,Linear,
Guerre,Cote d'Ivoire,https://www.tribal-art-gallery.com/tribal-art-pictures/25073/2823bc48-e1e2-45d9-8180-418cfabf2b67/Masque-We-Art-Africain_hqth.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Igbo ,Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/19884/007b4f8a-3caa-493a-8a6f-694df0a936df/Masque-Igbo-Art-Africain_hqth.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Igbo ,Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/19279/f4427ca5-6d2a-4fbe-bccb-29005cf9e1e5/Masque-Igbo-Art-Africain_hqth.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Yoruba,Nigeria,https://www.tribal-art-gallery.com/tribal-art-pictures/25254/66ae72bb-62d5-473c-a8ad-0dbc39b03573/Masque-Gelede-Art-Africain_hqth.jpg,"Le peuple Yoruba d'Afrique de l'Ouest possède un riche panthéon de divinités appelées Orishas, la divination Ifa étant reconnue par l'UNESCO comme un chef-d'œuvre du patrimoine oral et immatériel de l'humanité.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
